#wave[nm]	#irradiance[W/m^2/nm]	#model[W/m^2/nm]
72.5	7.589830551296473E-6	7.589830551296473E-6
73.5	4.509261343628168E-6	4.509261343628168E-6
74.5	6.045320071280003E-6	6.045320071280003E-6
75.5	8.099231868982315E-6	8.099231868982315E-6
76.5	1.912722922861576E-5	1.912722922861576E-5
77.5	1.7991725355386735E-5	1.7991725355386735E-5
78.5	2.49751303344965E-5	2.49751303344965E-5
79.5	1.849508471786976E-5	1.849508471786976E-5
80.5	1.553283166140318E-5	1.553283166140318E-5
81.5	1.6334926709532737E-5	1.6334926709532737E-5
82.5	2.026369795203209E-5	2.026369795203209E-5
83.5	4.363501816987991E-5	4.363501816987991E-5
84.5	2.895684912800789E-5	2.895684912800789E-5
85.5	3.527514263987541E-5	3.527514263987541E-5
86.5	4.030949622392654E-5	4.030949622392654E-5
87.5	4.9190592020750045E-5	4.9190592020750045E-5
88.5	5.84702268242836E-5	5.84702268242836E-5
89.5	6.745415925979614E-5	6.745415925979614E-5
90.5	7.966659963130951E-5	7.966659963130951E-5
91.5	6.992729008197784E-5	6.992729008197784E-5
92.5	2.3406961932778358E-5	2.3406961932778358E-5
93.5	2.4442130699753762E-5	2.4442130699753762E-5
94.5	1.7884725704789163E-5	1.7884725704789163E-5
95.5	1.4607182703912259E-5	1.4607182703912259E-5
96.5	1.0646761395037174E-5	1.0646761395037174E-5
97.5	1.6997706890106202E-4	1.6997706890106202E-4
98.5	2.122868597507477E-5	2.122868597507477E-5
99.5	3.166720643639565E-5	3.166720643639565E-5
100.5	1.6800735145807265E-5	1.6800735145807265E-5
101.5	1.901770569384098E-5	1.901770569384098E-5
102.5	1.606975942850113E-4	1.606975942850113E-4
103.5	1.3767515122890472E-4	1.3767515122890472E-4
104.5	2.6073765009641646E-5	2.6073765009641646E-5
105.5	2.1759314462542533E-5	2.1759314462542533E-5
106.5	2.301909402012825E-5	2.301909402012825E-5
107.5	2.5607150048017503E-5	2.5607150048017503E-5
108.5	4.143495485186577E-5	4.143495485186577E-5
109.5	2.8829077258706094E-5	2.8829077258706094E-5
110.5	3.276538103818893E-5	3.276538103818893E-5
111.5	3.0562633648514745E-5	3.0562633648514745E-5
112.5	3.130747750401497E-5	3.130747750401497E-5
113.5	2.195896580815315E-5	2.195896580815315E-5
114.5	2.4801071733236313E-5	2.4801071733236313E-5
115.5	2.7588626369833948E-5	2.7588626369833948E-5
116.5	2.9423385858535766E-5	2.9423385858535766E-5
